Type,OdName,AreaName,RegName,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,
Emigrants,Cambodia,Asia,South-Eastern Asia,Less developed regions,1,0,0,1,3,3,1,5,2,1,2,0,2,6,2,2,1,2,10,21,10,22,26,21,35,17,21,23,25,14,..,..,..,..,,,,,,,,
Emigrants,Cameroon,Africa,Middle Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,1,5,0,0,..,..,..,..,,,,,,,,
Emigrants,Canada,Northern America,Northern America,More developed regions,479,383,242,236,282,314,269,336,471,406,376,346,334,308,218,262,278,309,386,376,432,389,303,375,371,458,494,488,508,487,..,..,..,..,,,,,,,,
Emigrants,Cayman Islands,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Central African Republic,Africa,Middle Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Chad,Africa,Middle Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,,,,,,,,
Emigrants,Channel Islands,Europe,Northern Europe,More developed regions,16,12,6,3,13,12,7,1,2,6,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Chile,Latin America and the Caribbean,South America,Less developed regions,13,18,17,14,19,6,8,19,7,15,38,23,33,38,30,11,28,19,18,20,26,20,32,57,78,82,91,100,169,282,..,..,..,..,,,,,,,,
Emigrants,China,Asia,Eastern Asia,Less developed regions,50,58,93,76,59,64,83,88,114,82,84,204,239,153,136,186,211,265,336,354,534,736,1200,2235,3593,3122,2459,2326,2157,1995,..,..,..,..,,,,,,,,
Emigrants,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Less developed regions,19,10,22,15,9,25,16,7,39,45,76,155,142,106,132,125,178,180,173,152,147,112,123,107,146,124,88,122,105,118,..,..,..,..,,,,,,,,
Emigrants,"China, Macao Special Administrative Region",Asia,Eastern Asia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,2,1,2,2,0,0,1,1,3,0,1,0,0,1,1,..,..,..,..,,,,,,,,
Emigrants,Colombia,Latin America and the Caribbean,South America,Less developed regions,0,4,1,1,6,6,3,3,5,3,7,2,0,5,4,7,2,11,1,8,8,5,8,8,18,10,11,12,16,26,..,..,..,..,,,,,,,,
Emigrants,Comoros,Africa,Eastern Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Congo,Africa,Middle Africa,Less developed regions,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,..,..,..,..,,,,,,,,
Emigrants,Cook Islands,Oceania,Polynesia,Less developed regions,260,220,225,166,134,169,199,217,195,140,137,141,101,89,68,48,40,20,2,3,2,2,4,5,2,0,1,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Costa Rica,Latin America and the Caribbean,Central America,Less developed regions,0,0,0,0,0,0,0,0,0,3,1,0,4,0,7,4,7,8,2,6,4,0,0,2,3,2,1,0,2,3,..,..,..,..,,,,,,,,
Emigrants,Côte d'Ivoire,Africa,Western Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Croatia,Europe,Southern Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,20,16,12,15,5,19,2,3,6,7,4,10,11,6,..,..,..,..,,,,,,,,
Emigrants,Cuba,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Cyprus,Asia,Western Asia,Less developed regions,5,10,1,2,9,8,1,1,4,0,1,0,3,2,1,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,..,..,..,..,,,,,,,,
Emigrants,Czech Republic,Europe,Eastern Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,3,6,7,5,18,41,54,49,68,119,91,129,162,150,..,..,..,..,,,,,,,,
Emigrants,Democratic People's Republic of Korea,Asia,Eastern Asia,Less developed regions,2,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,..,..,..,..,,,,,,,,
Emigrants,Democratic Republic of the Congo,Africa,Middle Africa,Less developed regions,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Denmark,Europe,Northern Europe,More developed regions,31,12,17,24,31,31,27,24,35,32,36,53,62,62,43,58,49,48,65,51,65,64,58,49,68,82,57,51,41,62,..,..,..,..,,,,,,,,
Emigrants,Djibouti,Africa,Eastern Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Dominica,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,..,..,..,..,,,,,,,,
Emigrants,Dominican Republic,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,..,..,..,..,,,,,,,,
Emigrants,Ecuador,Latin America and the Caribbean,South America,Less developed regions,0,1,2,6,0,0,1,2,0,8,1,0,0,1,2,0,0,3,1,0,0,0,1,1,1,0,8,3,0,3,..,..,..,..,,,,,,,,
Emigrants,Egypt,Africa,Northern Africa,Less developed regions,11,2,1,6,11,0,10,18,1,2,1,3,0,0,0,1,4,4,15,5,5,3,0,4,6,4,19,3,9,9,..,..,..,..,,,,,,,,
Emigrants,El Salvador,Latin America and the Caribbean,Central America,Less developed regions,0,0,0,2,1,2,1,1,0,0,1,2,5,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,4,0,..,..,..,..,,,,,,,,
Emigrants,Equatorial Guinea,Africa,Middle Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Eritrea,Africa,Eastern Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Estonia,Europe,Northern Europe,More developed regions,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,2,1,0,2,1,7,..,..,..,..,,,,,,,,
Emigrants,Ethiopia,Africa,Eastern Africa,Less developed regions,0,2,0,1,5,0,0,0,0,4,1,0,2,0,1,0,0,1,3,0,0,0,1,2,1,0,5,0,1,2,..,..,..,..,,,,,,,,
Emigrants,Faeroe Islands,Europe,Northern Europe,More developed regions,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Falkland Islands (Malvinas),Latin America and the Caribbean,South America,Less developed regions,0,2,0,0,4,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Fiji,Oceania,Melanesia,Less developed regions,290,225,189,172,141,155,162,113,193,256,350,484,426,319,255,204,215,277,282,324,178,178,194,303,272,268,211,203,315,576,..,..,..,..,,,,,,,,
Emigrants,Finland,Europe,Northern Europe,More developed regions,7,1,9,1,1,7,5,3,8,4,10,17,20,29,21,26,25,17,23,31,24,18,28,23,24,25,23,26,34,32,..,..,..,..,,,,,,,,
Emigrants,France,Europe,Western Europe,More developed regions,40,57,38,38,36,56,74,64,65,61,54,88,87,67,71,83,77,110,88,115,118,100,134,158,203,227,208,265,313,345,..,..,..,..,,,,,,,,
Emigrants,French Guiana,Latin America and the Caribbean,South America,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,French Polynesia,Oceania,Polynesia,Less developed regions,2,2,0,0,0,3,3,0,15,15,7,6,5,8,6,8,16,9,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Gabon,Africa,Middle Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Gambia,Africa,Western Africa,Less developed regions,0,3,6,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Georgia,Asia,Western Asia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,2,0,1,..,..,..,..,,,,,,,,
Emigrants,Germany,Europe,Western Europe,More developed regions,94,66,92,97,96,101,128,138,152,164,179,181,205,179,154,196,231,219,259,249,281,318,344,397,457,567,601,677,790,837,..,..,..,..,,,,,,,,
Emigrants,Ghana,Africa,Western Africa,Less developed regions,3,2,0,1,2,7,4,1,0,0,3,1,4,2,1,1,3,10,8,5,8,5,6,2,4,3,3,3,3,4,..,..,..,..,,,,,,,,
Emigrants,Gibraltar,Europe,Southern Europe,More developed regions,0,1,1,0,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Greece,Europe,Southern Europe,More developed regions,25,19,9,17,16,10,8,8,17,10,10,6,7,5,14,7,13,9,4,7,5,4,4,14,4,6,4,3,6,6,..,..,..,..,,,,,,,,
Emigrants,Greenland,Northern America,Northern America,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Grenada,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Guadeloupe,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Guam,Oceania,Micronesia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Guatemala,Latin America and the Caribbean,Central America,Less developed regions,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,2,2,3,0,1,0,0,0,2,6,2,0,0,1,..,..,..,..,,,,,,,,
Emigrants,Guinea,Africa,Western Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Guinea-Bissau,Africa,Western Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Guyana,Latin America and the Caribbean,South America,Less developed regions,1,1,2,0,0,2,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,3,0,1,0,1,0,4,0,1,..,..,..,..,,,,,,,,
Emigrants,Haiti,Latin America and the Caribbean,Caribbean,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,..,..,..,..,,,,,,,,
Emigrants,Holy See,Europe,Southern Europe,More developed regions,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,..,..,..,..,,,,,,,,
Emigrants,Honduras,Latin America and the Caribbean,Central America,Less developed regions,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Hungary,Europe,Eastern Europe,More developed regions,1,0,1,10,8,2,1,3,6,1,5,8,6,8,3,1,3,6,7,6,10,6,10,23,49,46,37,27,38,44,..,..,..,..,,,,,,,,
Emigrants,Iceland,Europe,Northern Europe,More developed regions,1,0,2,1,0,2,4,2,3,5,4,6,3,7,0,6,3,4,5,6,1,0,7,9,1,4,7,4,5,10,..,..,..,..,,,,,,,,
Emigrants,India,Asia,Southern Asia,Less developed regions,81,75,62,78,85,113,111,81,105,112,169,340,201,199,177,156,169,234,363,304,293,309,329,482,675,681,626,673,719,923,..,..,..,..,,,,,,,,
Emigrants,Indonesia,Asia,South-Eastern Asia,Less developed regions,30,30,50,39,61,58,62,48,57,90,118,183,136,144,164,174,178,156,139,202,273,229,163,169,164,212,206,154,160,179,..,..,..,..,,,,,,,,
Emigrants,Iran (Islamic Republic of),Asia,Southern Asia,Less developed regions,4,3,1,0,1,10,0,10,20,5,12,9,39,9,57,27,19,17,37,21,25,9,10,9,15,17,16,19,15,16,..,..,..,..,,,,,,,,
Emigrants,Iraq,Asia,Western Asia,Less developed regions,0,3,0,5,5,5,4,0,8,1,0,0,0,3,0,1,6,6,7,2,5,2,7,12,10,10,7,3,3,5,..,..,..,..,,,,,,,,
Emigrants,Ireland,Europe,Northern Europe,More developed regions,115,110,51,86,100,73,83,72,124,160,147,117,97,74,98,113,114,163,189,197,247,252,256,283,332,370,443,424,399,354,..,..,..,..,,,,,,,,
Emigrants,Isle of Man,Europe,Northern Europe,More developed regions,4,2,3,8,1,1,3,0,1,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Israel,Asia,Western Asia,Less developed regions,18,4,14,12,8,9,11,22,6,11,15,37,17,29,19,23,33,24,15,31,20,18,23,22,43,40,25,24,34,32,..,..,..,..,,,,,,,,
Emigrants,Italy,Europe,Southern Europe,More developed regions,30,49,32,44,18,13,17,18,11,24,11,33,13,13,15,22,21,23,36,26,23,39,33,48,57,24,39,55,60,73,..,..,..,..,,,,,,,,
Emigrants,Jamaica,Latin America and the Caribbean,Caribbean,Less developed regions,2,1,1,2,0,0,0,2,0,1,2,1,1,3,0,1,0,0,2,1,0,0,1,0,1,0,1,1,1,1,..,..,..,..,,,,,,,,
Emigrants,Japan,Asia,Eastern Asia,More developed regions,164,134,169,171,182,247,217,222,255,277,336,515,686,764,983,1127,1294,1618,1517,1382,1402,1141,1272,1341,1373,1353,981,1018,1002,1029,..,..,..,..,,,,,,,,
Emigrants,Jordan,Asia,Western Asia,Less developed regions,0,4,0,0,0,0,1,1,0,6,5,0,0,2,1,0,1,1,2,2,1,1,1,7,1,16,5,1,3,4,..,..,..,..,,,,,,,,
Emigrants,Kazakhstan,Asia,Central Asia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,6,2,2,0,7,1,1,10,..,..,..,..,,,,,,,,
Emigrants,Kenya,Africa,Eastern Africa,Less developed regions,18,14,7,12,11,19,11,2,1,2,4,7,14,4,3,6,8,5,4,7,6,2,0,7,12,2,6,8,10,20,..,..,..,..,,,,,,,,
Emigrants,Kiribati,Oceania,Micronesia,Less developed regions,3,1,4,4,1,4,1,2,15,4,2,17,8,7,15,8,13,23,18,27,30,32,43,36,25,7,16,7,26,56,..,..,..,..,,,,,,,,
Emigrants,Kuwait,Asia,Western Asia,Less developed regions,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,9,1,1,2,0,2,1,1,..,..,..,..,,,,,,,,
Emigrants,Kyrgyzstan,Asia,Central Asia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,1,..,..,..,..,,,,,,,,
Emigrants,Lao People's Democratic Republic,Asia,South-Eastern Asia,Less developed regions,0,0,1,0,4,0,0,1,1,0,0,2,0,0,1,0,1,2,4,6,4,0,4,3,6,2,0,7,3,19,..,..,..,..,,,,,,,,
Emigrants,Latvia,Europe,Northern Europe,More developed regions,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,2,0,5,5,4,5,6,4,..,..,..,..,,,,,,,,
Emigrants,Lebanon,Asia,Western Asia,Less developed regions,6,8,0,2,0,1,0,2,9,4,4,2,0,4,2,0,1,0,1,2,0,3,1,1,3,3,0,3,1,14,..,..,..,..,,,,,,,,
Emigrants,Lesotho,Africa,Southern Africa,Less developed regions,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,0,0,2,4,1,..,..,..,..,,,,,,,,
Emigrants,Liberia,Africa,Western Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,..,..,..,..,,,,,,,,
Emigrants,Libyan Arab Jamahiriya,Africa,Northern Africa,Less developed regions,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Liechtenstein,Europe,Western Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Lithuania,Europe,Northern Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,10,4,5,5,3,..,..,..,..,,,,,,,,
Emigrants,Luxembourg,Europe,Western Europe,More developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,..,..,..,..,,,,,,,,
Emigrants,Madagascar,Africa,Eastern Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,..,..,..,..,,,,,,,,
Emigrants,Malawi,Africa,Eastern Africa,Less developed regions,2,3,3,0,2,3,4,1,0,0,3,1,1,0,0,0,1,6,4,4,3,8,6,5,1,0,0,1,5,1,..,..,..,..,,,,,,,,
Emigrants,Malaysia,Asia,South-Eastern Asia,Less developed regions,516,495,378,297,310,259,125,85,191,468,630,983,729,446,436,498,739,909,603,541,529,423,303,394,457,517,485,559,704,755,..,..,..,..,,,,,,,,
Emigrants,Maldives,Asia,Southern Asia,Less developed regions,1,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,10,4,2,8,8,7,19,8,16,14,15,13,27,..,..,..,..,,,,,,,,
Emigrants,Mali,Africa,Western Africa,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,..,..,..,..,,,,,,,,
Emigrants,Malta,Europe,Southern Europe,More developed regions,7,3,4,4,8,6,3,3,1,1,6,1,0,1,4,0,2,2,1,3,4,1,0,1,0,0,0,5,0,2,..,..,..,..,,,,,,,,
Emigrants,Marshall Islands,Oceania,Micronesia,Less developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,1,2,1,0,0,0,0,0,1,0,2,..,..,..,..,,,,,,,,
