Year,Type,OdName,AreaName,RegName,DevName,Count
1980,Emigrants,Malta,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Marshall Islands,Oceania,Micronesia,Developing regions,0
1980,Emigrants,Martinique,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Mauritania,Africa,Western Africa,Developing regions,0
1980,Emigrants,Mauritius,Africa,Eastern Africa,Developing regions,3
1980,Emigrants,Mayotte,Africa,Eastern Africa,Developing regions,0
1980,Emigrants,Mexico,Latin America and the Caribbean,Central America,Developing regions,9
1980,Emigrants,Micronesia (Federated States of),Oceania,Micronesia,Developing regions,39
1980,Emigrants,Monaco,Europe,Western Europe,Developed regions,0
1980,Emigrants,Mongolia,Asia,Eastern Asia,Developing regions,0
1980,Emigrants,Montenegro,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Montserrat,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Morocco,Africa,Northern Africa,Developing regions,2
1980,Emigrants,Mozambique,Africa,Eastern Africa,Developing regions,1
1980,Emigrants,Myanmar,Asia,South-Eastern Asia,Developing regions,2
1980,Emigrants,Namibia,Africa,Southern Africa,Developing regions,5
1980,Emigrants,Nauru,Oceania,Micronesia,Developing regions,55
1980,Emigrants,Nepal,Asia,Southern Asia,Developing regions,9
1980,Emigrants,Netherlands,Europe,Western Europe,Developed regions,544
1980,Emigrants,New Caledonia,Oceania,Melanesia,Developing regions,17
1980,Emigrants,Nicaragua,Latin America and the Caribbean,Central America,Developing regions,0
1980,Emigrants,Niger,Africa,Western Africa,Developing regions,3
1980,Emigrants,Nigeria,Africa,Western Africa,Developing regions,11
1980,Emigrants,Niue,Oceania,Polynesia,Developing regions,104
1980,Emigrants,Northern Mariana Islands,Oceania,Micronesia,Developing regions,0
1980,Emigrants,Norway,Europe,Northern Europe,Developed regions,24
1980,Emigrants,Oman,Asia,Western Asia,Developing regions,40
1980,Emigrants,Pakistan,Asia,Southern Asia,Developing regions,48
1980,Emigrants,Palau,Oceania,Micronesia,Developing regions,0
1980,Emigrants,Panama,Latin America and the Caribbean,Central America,Developing regions,4
1980,Emigrants,Papua New Guinea,Oceania,Melanesia,Developing regions,1326
1980,Emigrants,Paraguay,Latin America and the Caribbean,South America,Developing regions,10
1980,Emigrants,Peru,Latin America and the Caribbean,South America,Developing regions,21
1980,Emigrants,Philippines,Asia,South-Eastern Asia,Developing regions,114
1980,Emigrants,Poland,Europe,Eastern Europe,Developed regions,10
1980,Emigrants,Portugal,Europe,Southern Europe,Developed regions,2
1980,Emigrants,Puerto Rico,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Qatar,Asia,Western Asia,Developing regions,5
1980,Emigrants,Republic of Korea,Asia,Eastern Asia,Developing regions,71
1980,Emigrants,Republic of Moldova,Europe,Eastern Europe,Developed regions,0
1980,Emigrants,Réunion,Africa,Eastern Africa,Developing regions,0
1980,Emigrants,Romania,Europe,Eastern Europe,Developed regions,2
1980,Emigrants,Russian Federation,Europe,Eastern Europe,Developed regions,0
1980,Emigrants,Rwanda,Africa,Eastern Africa,Developing regions,1
1980,Emigrants,Saint Helena,Africa,Western Africa,Developing regions,0
1980,Emigrants,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Saint Lucia,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Saint Pierre and Miquelon,Northern America,Northern America,Developed regions,0
1980,Emigrants,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Samoa,Oceania,Polynesia,Developing regions,1113
1980,Emigrants,San Marino,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Sao Tome and Principe,Africa,Middle Africa,Developing regions,0
1980,Emigrants,Saudi Arabia,Asia,Western Asia,Developing regions,92
1980,Emigrants,Senegal,Africa,Western Africa,Developing regions,0
1980,Emigrants,Serbia,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Seychelles,Africa,Eastern Africa,Developing regions,1
1980,Emigrants,Sierra Leone,Africa,Western Africa,Developing regions,3
1980,Emigrants,Singapore,Asia,South-Eastern Asia,Developing regions,1072
1980,Emigrants,Slovakia,Europe,Eastern Europe,Developed regions,0
1980,Emigrants,Slovenia,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Solomon Islands,Oceania,Melanesia,Developing regions,105
1980,Emigrants,Somalia,Africa,Eastern Africa,Developing regions,2
1980,Emigrants,South Africa,Africa,Southern Africa,Developing regions,308
1980,Emigrants,Spain,Europe,Southern Europe,Developed regions,20
1980,Emigrants,Sri Lanka,Asia,Southern Asia,Developing regions,21
1980,Emigrants,State of Palestine,Asia,Western Asia,Developing regions,0
1980,Emigrants,Sudan,Africa,Northern Africa,Developing regions,9
1980,Emigrants,Suriname,Latin America and the Caribbean,South America,Developing regions,0
1980,Emigrants,Swaziland,Africa,Southern Africa,Developing regions,1
1980,Emigrants,Sweden,Europe,Northern Europe,Developed regions,24
1980,Emigrants,Switzerland,Europe,Western Europe,Developed regions,153
1980,Emigrants,Syrian Arab Republic,Asia,Western Asia,Developing regions,4
1980,Emigrants,Tajikistan,Asia,Central Asia,Developing regions,0
1980,Emigrants,Thailand,Asia,South-Eastern Asia,Developing regions,110
1980,Emigrants,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,Developed regions,0
1980,Emigrants,Timor-Leste,Asia,South-Eastern Asia,Developing regions,0
1980,Emigrants,Togo,Africa,Western Africa,Developing regions,0
1980,Emigrants,Tokelau,Oceania,Polynesia,Developing regions,35
1980,Emigrants,Tonga,Oceania,Polynesia,Developing regions,405
1980,Emigrants,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,Developing regions,1
1980,Emigrants,Tunisia,Africa,Northern Africa,Developing regions,1
1980,Emigrants,Turkey,Asia,Western Asia,Developing regions,6
1980,Emigrants,Turkmenistan,Asia,Central Asia,Developing regions,0
1980,Emigrants,Turks and Caicos Islands,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Tuvalu,Oceania,Polynesia,Developing regions,6
1980,Emigrants,Uganda,Africa,Eastern Africa,Developing regions,2
1980,Emigrants,Ukraine,Europe,Eastern Europe,Developed regions,0
1980,Emigrants,United Arab Emirates,Asia,Western Asia,Developing regions,30
1980,Emigrants,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Developed regions,10257
1980,Emigrants,United Republic of Tanzania,Africa,Eastern Africa,Developing regions,14
1980,Emigrants,United States of America,Northern America,Northern America,Developed regions,2365
1980,Emigrants,United States Virgin Islands,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Emigrants,Uruguay,Latin America and the Caribbean,South America,Developing regions,4
1980,Emigrants,Uzbekistan,Asia,Central Asia,Developing regions,0
1980,Emigrants,Vanuatu,Oceania,Melanesia,Developing regions,47
1980,Emigrants,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,Developing regions,14
1980,Emigrants,Viet Nam,Asia,South-Eastern Asia,Developing regions,4
1980,Emigrants,Wallis and Futuna Islands,Oceania,Polynesia,Developing regions,0
1980,Emigrants,Western Sahara,Africa,Northern Africa,Developing regions,0
1980,Emigrants,Yemen,Asia,Western Asia,Developing regions,0
1980,Emigrants,Zambia,Africa,Eastern Africa,Developing regions,21
1980,Emigrants,Zimbabwe,Africa,Eastern Africa,Developing regions,11
1980,Emigrants,Unknown,Unknown,Unknown,Unknown,4537
1980,Immigrants,Afghanistan,Asia,Southern Asia,Developing regions,1
1980,Immigrants,Albania,Europe,Southern Europe,Developed regions,0
1980,Immigrants,Algeria,Africa,Northern Africa,Developing regions,1
1980,Immigrants,American Samoa,Oceania,Polynesia,Developing regions,30
1980,Immigrants,Andorra,Europe,Southern Europe,Developed regions,0
1980,Immigrants,Angola,Africa,Middle Africa,Developing regions,1
1980,Immigrants,Anguilla,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Argentina,Latin America and the Caribbean,South America,Developing regions,5
1980,Immigrants,Armenia,Asia,Western Asia,Developing regions,0
1980,Immigrants,Aruba,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Australia,Oceania,Australia and New Zealand,Developed regions,14525
1980,Immigrants,Austria,Europe,Western Europe,Developed regions,36
1980,Immigrants,Azerbaijan,Asia,Western Asia,Developing regions,0
1980,Immigrants,Bahamas,Latin America and the Caribbean,Caribbean,Developing regions,11
1980,Immigrants,Bahrain,Asia,Western Asia,Developing regions,28
1980,Immigrants,Bangladesh,Asia,Southern Asia,Developing regions,16
1980,Immigrants,Barbados,Latin America and the Caribbean,Caribbean,Developing regions,3
1980,Immigrants,Belarus,Europe,Eastern Europe,Developed regions,0
1980,Immigrants,Belgium,Europe,Western Europe,Developed regions,30
1980,Immigrants,Belize,Latin America and the Caribbean,Central America,Developing regions,0
1980,Immigrants,Benin,Africa,Western Africa,Developing regions,1
1980,Immigrants,Bermuda,Northern America,Northern America,Developed regions,20
1980,Immigrants,Bhutan,Asia,Southern Asia,Developing regions,1
1980,Immigrants,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions,1
1980,Immigrants,Bosnia and Herzegovina,Europe,Southern Europe,Developed regions,0
1980,Immigrants,Botswana,Africa,Southern Africa,Developing regions,11
1980,Immigrants,Brazil,Latin America and the Caribbean,South America,Developing regions,16
1980,Immigrants,British Virgin Islands,Latin America and the Caribbean,Caribbean,Developing regions,2
1980,Immigrants,Brunei Darussalam,Asia,South-Eastern Asia,Developing regions,18
1980,Immigrants,Bulgaria,Europe,Eastern Europe,Developed regions,0
1980,Immigrants,Burkina Faso,Africa,Western Africa,Developing regions,0
1980,Immigrants,Burundi,Africa,Eastern Africa,Developing regions,4
1980,Immigrants,Cabo Verde,Africa,Western Africa,Developing regions,0
1980,Immigrants,Cambodia,Asia,South-Eastern Asia,Developing regions,271
1980,Immigrants,Cameroon,Africa,Middle Africa,Developing regions,1
1980,Immigrants,Canada,Northern America,Northern America,Developed regions,791
1980,Immigrants,Cayman Islands,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Central African Republic,Africa,Middle Africa,Developing regions,0
1980,Immigrants,Chad,Africa,Middle Africa,Developing regions,0
1980,Immigrants,Chile,Latin America and the Caribbean,South America,Developing regions,14
1980,Immigrants,China,Asia,Eastern Asia,Developing regions,103
1980,Immigrants,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Developing regions,351
1980,Immigrants,"China, Macao Special Administrative Region",Asia,Eastern Asia,Developing regions,1
1980,Immigrants,Colombia,Latin America and the Caribbean,South America,Developing regions,7
1980,Immigrants,Comoros,Africa,Eastern Africa,Developing regions,0
1980,Immigrants,Congo,Africa,Middle Africa,Developing regions,0
1980,Immigrants,Cook Islands,Oceania,Polynesia,Developing regions,762
1980,Immigrants,Costa Rica,Latin America and the Caribbean,Central America,Developing regions,0
1980,Immigrants,Côte d'Ivoire,Africa,Western Africa,Developing regions,0
1980,Immigrants,Croatia,Europe,Southern Europe,Developed regions,0
1980,Immigrants,Cuba,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Cyprus,Asia,Western Asia,Developing regions,3
1980,Immigrants,Czech Republic,Europe,Eastern Europe,Developed regions,0
1980,Immigrants,Democratic People's Republic of Korea,Asia,Eastern Asia,Developing regions,0
1980,Immigrants,Democratic Republic of the Congo,Africa,Middle Africa,Developing regions,3
1980,Immigrants,Denmark,Europe,Northern Europe,Developed regions,73
1980,Immigrants,Djibouti,Africa,Eastern Africa,Developing regions,0
1980,Immigrants,Dominica,Latin America and the Caribbean,Caribbean,Developing regions,2
1980,Immigrants,Dominican Republic,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Ecuador,Latin America and the Caribbean,South America,Developing regions,4
1980,Immigrants,Egypt,Africa,Northern Africa,Developing regions,7
1980,Immigrants,El Salvador,Latin America and the Caribbean,Central America,Developing regions,1
1980,Immigrants,Equatorial Guinea,Africa,Middle Africa,Developing regions,0
1980,Immigrants,Eritrea,Africa,Eastern Africa,Developing regions,0
1980,Immigrants,Estonia,Europe,Northern Europe,Developed regions,0
1980,Immigrants,Ethiopia,Africa,Eastern Africa,Developing regions,0
1980,Immigrants,Faeroe Islands,Europe,Northern Europe,Developed regions,0
1980,Immigrants,Falkland Islands (Malvinas),Latin America and the Caribbean,South America,Developing regions,0
1980,Immigrants,Fiji,Oceania,Melanesia,Developing regions,605
1980,Immigrants,Finland,Europe,Northern Europe,Developed regions,19
1980,Immigrants,France,Europe,Western Europe,Developed regions,119
1980,Immigrants,French Guiana,Latin America and the Caribbean,South America,Developing regions,0
1980,Immigrants,French Polynesia,Oceania,Polynesia,Developing regions,49
1980,Immigrants,Gabon,Africa,Middle Africa,Developing regions,0
1980,Immigrants,Gambia,Africa,Western Africa,Developing regions,5
1980,Immigrants,Georgia,Asia,Western Asia,Developing regions,0
1980,Immigrants,Germany,Europe,Western Europe,Developed regions,283
1980,Immigrants,Ghana,Africa,Western Africa,Developing regions,1
1980,Immigrants,Gibraltar,Europe,Southern Europe,Developed regions,8
1980,Immigrants,Greece,Europe,Southern Europe,Developed regions,91
1980,Immigrants,Greenland,Northern America,Northern America,Developed regions,0
1980,Immigrants,Grenada,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Guadeloupe,Latin America and the Caribbean,Caribbean,Developing regions,1
1980,Immigrants,Guam,Oceania,Micronesia,Developing regions,10
1980,Immigrants,Guatemala,Latin America and the Caribbean,Central America,Developing regions,5
1980,Immigrants,Guinea,Africa,Western Africa,Developing regions,0
1980,Immigrants,Guinea-Bissau,Africa,Western Africa,Developing regions,0
1980,Immigrants,Guyana,Latin America and the Caribbean,South America,Developing regions,0
1980,Immigrants,Haiti,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Holy See,Europe,Southern Europe,Developed regions,0
1980,Immigrants,Honduras,Latin America and the Caribbean,Central America,Developing regions,0
1980,Immigrants,Hungary,Europe,Eastern Europe,Developed regions,3
1980,Immigrants,Iceland,Europe,Northern Europe,Developed regions,15
1980,Immigrants,India,Asia,Southern Asia,Developing regions,227
1980,Immigrants,Indonesia,Asia,South-Eastern Asia,Developing regions,124
1980,Immigrants,Iran (Islamic Republic of),Asia,Southern Asia,Developing regions,20
1980,Immigrants,Iraq,Asia,Western Asia,Developing regions,12
1980,Immigrants,Ireland,Europe,Northern Europe,Developed regions,74
1980,Immigrants,Israel,Asia,Western Asia,Developing regions,71
1980,Immigrants,Italy,Europe,Southern Europe,Developed regions,104
1980,Immigrants,Jamaica,Latin America and the Caribbean,Caribbean,Developing regions,4
1980,Immigrants,Japan,Asia,Eastern Asia,Developed regions,238
1980,Immigrants,Jordan,Asia,Western Asia,Developing regions,4
1980,Immigrants,Kazakhstan,Asia,Central Asia,Developing regions,0
1980,Immigrants,Kenya,Africa,Eastern Africa,Developing regions,39
1980,Immigrants,Kiribati,Oceania,Micronesia,Developing regions,12
1980,Immigrants,Kuwait,Asia,Western Asia,Developing regions,8
1980,Immigrants,Kyrgyzstan,Asia,Central Asia,Developing regions,0
1980,Immigrants,Lao People's Democratic Republic,Asia,South-Eastern Asia,Developing regions,163
1980,Immigrants,Latvia,Europe,Northern Europe,Developed regions,0
1980,Immigrants,Lebanon,Asia,Western Asia,Developing regions,5
1980,Immigrants,Lesotho,Africa,Southern Africa,Developing regions,6
1980,Immigrants,Liberia,Africa,Western Africa,Developing regions,2
1980,Immigrants,Libya,Africa,Northern Africa,Developing regions,24
1980,Immigrants,Liechtenstein,Europe,Western Europe,Developed regions,0
1980,Immigrants,Lithuania,Europe,Northern Europe,Developed regions,0
1980,Immigrants,Luxembourg,Europe,Western Europe,Developed regions,6
1980,Immigrants,Madagascar,Africa,Eastern Africa,Developing regions,0
1980,Immigrants,Malawi,Africa,Eastern Africa,Developing regions,21
1980,Immigrants,Malaysia,Asia,South-Eastern Asia,Developing regions,459
1980,Immigrants,Maldives,Asia,Southern Asia,Developing regions,0
1980,Immigrants,Mali,Africa,Western Africa,Developing regions,0
1980,Immigrants,Malta,Europe,Southern Europe,Developed regions,7
1980,Immigrants,Marshall Islands,Oceania,Micronesia,Developing regions,0
1980,Immigrants,Martinique,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Mauritania,Africa,Western Africa,Developing regions,0
1980,Immigrants,Mauritius,Africa,Eastern Africa,Developing regions,2
1980,Immigrants,Mayotte,Africa,Eastern Africa,Developing regions,0
1980,Immigrants,Mexico,Latin America and the Caribbean,Central America,Developing regions,7
1980,Immigrants,Micronesia (Federated States of),Oceania,Micronesia,Developing regions,1
1980,Immigrants,Monaco,Europe,Western Europe,Developed regions,2
1980,Immigrants,Mongolia,Asia,Eastern Asia,Developing regions,0
1980,Immigrants,Montenegro,Europe,Southern Europe,Developed regions,0
1980,Immigrants,Montserrat,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Morocco,Africa,Northern Africa,Developing regions,0
1980,Immigrants,Mozambique,Africa,Eastern Africa,Developing regions,2
1980,Immigrants,Myanmar,Asia,South-Eastern Asia,Developing regions,3
1980,Immigrants,Namibia,Africa,Southern Africa,Developing regions,5
1980,Immigrants,Nauru,Oceania,Micronesia,Developing regions,97
1980,Immigrants,Nepal,Asia,Southern Asia,Developing regions,15
1980,Immigrants,Netherlands,Europe,Western Europe,Developed regions,1222
1980,Immigrants,New Caledonia,Oceania,Melanesia,Developing regions,25
1980,Immigrants,Nicaragua,Latin America and the Caribbean,Central America,Developing regions,0
1980,Immigrants,Niger,Africa,Western Africa,Developing regions,0
1980,Immigrants,Nigeria,Africa,Western Africa,Developing regions,22
1980,Immigrants,Niue,Oceania,Polynesia,Developing regions,168
1980,Immigrants,Northern Mariana Islands,Oceania,Micronesia,Developing regions,0
1980,Immigrants,Norway,Europe,Northern Europe,Developed regions,20
1980,Immigrants,Oman,Asia,Western Asia,Developing regions,15
1980,Immigrants,Pakistan,Asia,Southern Asia,Developing regions,15
1980,Immigrants,Palau,Oceania,Micronesia,Developing regions,0
1980,Immigrants,Panama,Latin America and the Caribbean,Central America,Developing regions,2
1980,Immigrants,Papua New Guinea,Oceania,Melanesia,Developing regions,663
1980,Immigrants,Paraguay,Latin America and the Caribbean,South America,Developing regions,8
1980,Immigrants,Peru,Latin America and the Caribbean,South America,Developing regions,12
1980,Immigrants,Philippines,Asia,South-Eastern Asia,Developing regions,115
1980,Immigrants,Poland,Europe,Eastern Europe,Developed regions,10
1980,Immigrants,Portugal,Europe,Southern Europe,Developed regions,2
1980,Immigrants,Puerto Rico,Latin America and the Caribbean,Caribbean,Developing regions,0
1980,Immigrants,Qatar,Asia,Western Asia,Developing regions,8
1980,Immigrants,Republic of Korea,Asia,Eastern Asia,Developing regions,30
1980,Immigrants,Republic of Moldova,Europe,Eastern Europe,Developed regions,0
1980,Immigrants,Réunion,Africa,Eastern Africa,Developing regions,0
